,GroupNumber,GroupType,LexiconType,Generation,ParticipantID,IP,Stage,Block,TrialNumber,Meaning,TrainingLabel,TypedLabel,SegmentedLabel,Exclude_Eng_non.ID,Exclude_Non.Eng,Exclude_other,Array1,Array2,Array3,Array4,Array5,Array6,Selected,Score,Time,Trial_Iteration,Transmitter,Pair,Unique_Participant,New_Redup_B,Exclude_ID,Adj_V,Adj_N,Non_Adj_V,Non_Adj_N,Consonant_redup_V,Consonant_redup_N,Consonant_N,Vowel_redup_V,Vowel_redup_N,Vowel_N,Syllable_N,Exclude_relevant,Adj_B,Non_Adj_B,Exclude_Eng_ID,SyllableRepetition,ConsonantRepetition
18,1,chain_group,large,0,chain_group_large_111,129.215.204.184,vocabTraining,1,18,2022,kakiki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:56.6,NA,0,initial_1_large,initial_1_large,1,NA,0.5,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,1,1
19,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,1,2001,pewa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16:46.7,NA,1,initial_1_large,initial_1_large,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
20,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,2,2057,kikawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16:50.8,NA,1,initial_1_large,initial_1_large,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,1
21,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,3,2016,wokopepe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16:54.8,NA,1,initial_1_large,initial_1_large,1,NA,0.333,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,1,1
22,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,4,2030,kukuwipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16:59.0,NA,1,initial_1_large,initial_1_large,1,NA,0.333,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,1,1
23,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,5,2063,nupewiko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:03.2,NA,1,initial_1_large,initial_1_large,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
24,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,6,2023,wikawawo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:07.3,NA,1,initial_1_large,initial_1_large,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,1
25,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,7,2018,peku,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:11.5,NA,1,initial_1_large,initial_1_large,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
26,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,8,2029,wakoko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:15.6,NA,1,initial_1_large,initial_1_large,1,NA,0.5,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,1,1
27,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,9,2058,kakawa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:19.8,NA,1,initial_1_large,initial_1_large,1,NA,0.5,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,1,1
28,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,10,2017,kika,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:23.9,NA,1,initial_1_large,initial_1_large,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,1
29,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,11,1007,wikowa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:28.1,NA,1,initial_1_large,initial_1_large,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
30,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,12,1031,wakiwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:32.2,NA,1,initial_1_large,initial_1_large,0,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,0
31,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,13,2025,kiwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:36.4,NA,1,initial_1_large,initial_1_large,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
32,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,14,2049,kopekowi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:40.6,NA,1,initial_1_large,initial_1_large,0,NA,0,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,0
33,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,15,2022,kakiki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:44.8,NA,1,initial_1_large,initial_1_large,1,NA,0.5,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,1,1
34,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,16,1008,kukuko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:49.0,NA,1,initial_1_large,initial_1_large,1,NA,0.5,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,1,1
35,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,17,2054,kako,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:53.1,NA,1,initial_1_large,initial_1_large,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,1
36,1,chain_group,large,0,chain_group_large_112,129.215.204.182,vocabTraining,1,18,2027,wiwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:57.3,NA,1,initial_1_large,initial_1_large,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,1
37,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,1,2054,NA,kako,"('ka', 'ko')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,25:04.7,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0,0,0,0,1,1,2,0,0,2,2,0,0,0,NA,0,1
38,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,2,2049,NA,kiwa,"('ki', 'wa')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,25:30.3,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,0,NA,0,0,0,0,0,0,2,0,0,2,2,0,0,0,NA,0,0
39,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,3,1008,NA,kakaki,"('ka', 'ka', 'ki')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,25:58.3,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0.5,1,0,0,1,2,3,0.5,1,3,3,0,1,0,NA,1,1
